legendary	leggendario
great	magnifico
acclaimed	acclamato
iconic	iconico
visionary	visionario
outstanding	eccezionale
leading	principale
celebrated	celebrato
landmark	monumentale
innovative	innovativo
extraordinary	straordinario
brilliant	brillante
hit	successo
famous	famoso
renowned	rinomato
remarkable	notevole
prestigious	prestigioso
respected	rispettato
notable	noto
virtuoso	virtuoso
honorable	premiato
awesome	stupendo
unique	unico
cult	cult
racist	razzista
perverted	pervertito
sect	setta
fundamentalist	fondamentalista
heretic	eretico
extremist	estremista
denialist	negazionista
terrorist	terrorista
bigot	bigotto
myth	mito
pseudo	pseudo
controversial	controverso
reveal	rivelare
clarify	chiarificare
expose	rivelare
explain	spiegare
find	trovare
note	notare
observe	osservare
insist	insistere
speculate	ipotizzare
surmise	congetturare
claim	affermare
assert	asserire
admit	ammettere
confess	confessare
deny	negare
say	dire
